,show_id,type,title,day,month,year,duration,duration_unit,rating,director,cast,country,date_added,listed_in,description
3015,81094069,TV Show,One Spring Night,12,7,2019,1,Season,TV-14,,"Han Ji-min, Jung Hae-in, Kim Jun-han, Yim Sung-eon, Song Seung-hwan, Kil Hae-yeon, Lee Moo-saeng, Kim Chang-wan",South Korea,2019-07-12,"International TV Shows, Korean TV Shows, Romantic TV Shows","When Lee Jeong-in and Yu Ji-ho meet, something unexpected happens. Or it just may be that spring is in the air – and anything is possible."
3016,81094893,TV Show,PILI Fantasy: War of Dragons,12,7,2019,1,Season,TV-14,,"Wang Hsi-hua, Lai Wei, Zhang Yu-quan, Chen Yu-kuan, Gao Ming-xiao, Tian Zhi-jie, Li Xiang-yu, Guo Ya-zhen, Zhan Yi-chun, Ye Yu-jia",,2019-07-12,"International TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy","As turmoil looms in the Martial World, and the Eight Wonders of the Evil Dragon unleashes dark forces, who will emerge as the new warrior legend?"
3019,81040704,TV Show,Taco Chronicles,12,7,2019,1,Season,TV-PG,,,United States,2019-07-12,"Docuseries, International TV Shows, Reality TV","Many of the most popular taco styles have long, rich, little-known histories. Explore some of them in this eye-opening, mouth-watering food adventure."
3021,81056491,TV Show,True Tunes,12,7,2019,1,Season,TV-Y,,"Michela Luci, Jamie Watson, Eric Peterson, Anna Claire Bartlam, Nicolas Aqui, Cory Doran, Julie Lemieux",,2019-07-12,Kids' TV,"True and her friends are dropping sweet, silly beats with freshly modern music videos set to the sounds of classic nursery rhyme songs."
3022,80120200,TV Show,Gonul,12,7,2017,1,Season,TV-14,Neslihan Yesilyurt,"Gökçe Bahadır, Engin Öztürk, Onur Saylak",Turkey,2017-07-12,"International TV Shows, TV Dramas, TV Thrillers","A nurse escapes from her surgeon fiancé after his ex reveals his dark secrets. She later finds love again, but a car accident changes everything."
3023,81088331,TV Show,Chhota Bheem,11,7,2019,1,Season,TV-Y7,,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",India,2019-07-11,Kids' TV,"A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil."
3024,80234451,TV Show,Family Reunion,11,7,2019,1,Season,TV-PG,,"Loretta Devine, Tia Mowry-Hardrict, Anthony Alabi, Talia Jackson, Isaiah Russell-Bailey, Cameron J. Wright, Jordyn Raya James, Richard Roundtree",United States,2019-07-11,TV Comedies,"When the McKellan family moves from Seattle to small-town Georgia, life down South – and traditional grandparents – challenge their big-city ways."
3033,70241791,TV Show,DreamWorks Kung Fu Panda Awesome Secrets,1,7,2019,1,Season,TV-PG,,"Jack Black, Dustin Hoffman, Dennis Haysbert, Paul Scheer, Randall Duk Kim, David Cross, Jessica DiCicco, Jaycee Chan, Angelina Jolie, Seth Rogen, Tony Leondis",United States,2019-07-01,"Kids' TV, TV Action & Adventure, TV Comedies","In this pair of adventures, Po tells the story of how masters Thundering Rhino, Storming Ox and Croc met and takes on Shifu's biggest challenge yet."
3034,81099997,TV Show,Flowering Heart,1,7,2019,1,Season,TV-Y7,,"Choi Da-in, Yang Se-na, Gim Chae-eun, Esther, Um Sang-hyun, Shin Yong-woo",South Korea,2019-07-01,"Kids' TV, Korean TV Shows","An ordinary student, who forms an advice club with her friends to help others, gains special powers after a mysterious encounter."
3037,80189451,TV Show,Inside the Mind of a Serial Killer,1,7,2019,1,Season,TV-14,,,United States,2019-07-01,"Crime TV Shows, Docuseries","Mixing dramatic re-enactments with real-life footage, this series delves into the tormented psyches of the world's most infamous serial killers."
